PERMNO,date,TICKER,COMNAM,PRC
86868,20150716,GS,GOLDMAN SACHS GROUP INC,211.17999
86868,20150717,GS,GOLDMAN SACHS GROUP INC,212.46001
86868,20150720,GS,GOLDMAN SACHS GROUP INC,212.39
86868,20150721,GS,GOLDMAN SACHS GROUP INC,211.5
86868,20150722,GS,GOLDMAN SACHS GROUP INC,213.25
86868,20150723,GS,GOLDMAN SACHS GROUP INC,211.05
86868,20150724,GS,GOLDMAN SACHS GROUP INC,207.35001
86868,20150727,GS,GOLDMAN SACHS GROUP INC,205.02
86868,20150728,GS,GOLDMAN SACHS GROUP INC,206.24001
86868,20150729,GS,GOLDMAN SACHS GROUP INC,206.84
86868,20150730,GS,GOLDMAN SACHS GROUP INC,207.2
86868,20150731,GS,GOLDMAN SACHS GROUP INC,205.07001
86868,20150803,GS,GOLDMAN SACHS GROUP INC,204.69
86868,20150804,GS,GOLDMAN SACHS GROUP INC,205.17
86868,20150805,GS,GOLDMAN SACHS GROUP INC,205.7
86868,20150806,GS,GOLDMAN SACHS GROUP INC,205.09
86868,20150807,GS,GOLDMAN SACHS GROUP INC,203.44
86868,20150810,GS,GOLDMAN SACHS GROUP INC,205.97
86868,20150811,GS,GOLDMAN SACHS GROUP INC,201.7
86868,20150812,GS,GOLDMAN SACHS GROUP INC,201.13
86868,20150813,GS,GOLDMAN SACHS GROUP INC,200.74001
86868,20150814,GS,GOLDMAN SACHS GROUP INC,202.02
86868,20150817,GS,GOLDMAN SACHS GROUP INC,202.57001
86868,20150818,GS,GOLDMAN SACHS GROUP INC,201.17999
86868,20150819,GS,GOLDMAN SACHS GROUP INC,200.95
86868,20150820,GS,GOLDMAN SACHS GROUP INC,196.75
86868,20150821,GS,GOLDMAN SACHS GROUP INC,187.74001
86868,20150824,GS,GOLDMAN SACHS GROUP INC,179.46001
86868,20150825,GS,GOLDMAN SACHS GROUP INC,178.22
86868,20150826,GS,GOLDMAN SACHS GROUP INC,184.39999
86868,20150827,GS,GOLDMAN SACHS GROUP INC,189.21001
86868,20150828,GS,GOLDMAN SACHS GROUP INC,187.75
86868,20150831,GS,GOLDMAN SACHS GROUP INC,188.60001
86868,20150901,GS,GOLDMAN SACHS GROUP INC,182.12
86868,20150902,GS,GOLDMAN SACHS GROUP INC,184.50999
86868,20150903,GS,GOLDMAN SACHS GROUP INC,185.06
86868,20150904,GS,GOLDMAN SACHS GROUP INC,180.38
86868,20150908,GS,GOLDMAN SACHS GROUP INC,185.88
86868,20150909,GS,GOLDMAN SACHS GROUP INC,185.67999
86868,20150910,GS,GOLDMAN SACHS GROUP INC,185.91
86868,20150911,GS,GOLDMAN SACHS GROUP INC,185.27
86868,20150914,GS,GOLDMAN SACHS GROUP INC,183.94
86868,20150915,GS,GOLDMAN SACHS GROUP INC,187.45
86868,20150916,GS,GOLDMAN SACHS GROUP INC,188.64
86868,20150917,GS,GOLDMAN SACHS GROUP INC,186.45
86868,20150918,GS,GOLDMAN SACHS GROUP INC,180.94
86868,20150921,GS,GOLDMAN SACHS GROUP INC,183.35001
86868,20150922,GS,GOLDMAN SACHS GROUP INC,179.72
86868,20150923,GS,GOLDMAN SACHS GROUP INC,179.41
86868,20150924,GS,GOLDMAN SACHS GROUP INC,176.91
86868,20150925,GS,GOLDMAN SACHS GROUP INC,179.83
86868,20150928,GS,GOLDMAN SACHS GROUP INC,173.02
86868,20150929,GS,GOLDMAN SACHS GROUP INC,171.86
86868,20150930,GS,GOLDMAN SACHS GROUP INC,173.75999
86868,20151001,GS,GOLDMAN SACHS GROUP INC,176.02
86868,20151002,GS,GOLDMAN SACHS GROUP INC,177.00999
86868,20151005,GS,GOLDMAN SACHS GROUP INC,180.7
86868,20151006,GS,GOLDMAN SACHS GROUP INC,180.32001
86868,20151007,GS,GOLDMAN SACHS GROUP INC,182.23
86868,20151008,GS,GOLDMAN SACHS GROUP INC,181.07001
86868,20151009,GS,GOLDMAN SACHS GROUP INC,179.19
86868,20151012,GS,GOLDMAN SACHS GROUP INC,180.23
86868,20151013,GS,GOLDMAN SACHS GROUP INC,180.97
86868,20151014,GS,GOLDMAN SACHS GROUP INC,179.50999
86868,20151015,GS,GOLDMAN SACHS GROUP INC,184.96001
86868,20151016,GS,GOLDMAN SACHS GROUP INC,185.17999
86868,20151019,GS,GOLDMAN SACHS GROUP INC,185.74001
86868,20151020,GS,GOLDMAN SACHS GROUP INC,185.50999
86868,20151021,GS,GOLDMAN SACHS GROUP INC,179.7
86868,20151022,GS,GOLDMAN SACHS GROUP INC,183.56
86868,20151023,GS,GOLDMAN SACHS GROUP INC,185.5
86868,20151026,GS,GOLDMAN SACHS GROUP INC,187.00999
86868,20151027,GS,GOLDMAN SACHS GROUP INC,186.31
86868,20151028,GS,GOLDMAN SACHS GROUP INC,191.32001
86868,20151029,GS,GOLDMAN SACHS GROUP INC,189.89
86868,20151030,GS,GOLDMAN SACHS GROUP INC,187.5
86868,20151102,GS,GOLDMAN SACHS GROUP INC,189.67999
86868,20151103,GS,GOLDMAN SACHS GROUP INC,190.69
86868,20151104,GS,GOLDMAN SACHS GROUP INC,191.64999
86868,20151105,GS,GOLDMAN SACHS GROUP INC,192.02
86868,20151106,GS,GOLDMAN SACHS GROUP INC,199.17
86868,20151109,GS,GOLDMAN SACHS GROUP INC,196.75999
86868,20151110,GS,GOLDMAN SACHS GROUP INC,197.81
86868,20151111,GS,GOLDMAN SACHS GROUP INC,197.39
86868,20151112,GS,GOLDMAN SACHS GROUP INC,192.77
86868,20151113,GS,GOLDMAN SACHS GROUP INC,190.39
86868,20151116,GS,GOLDMAN SACHS GROUP INC,192.16
86868,20151117,GS,GOLDMAN SACHS GROUP INC,190.57001
86868,20151118,GS,GOLDMAN SACHS GROUP INC,193.66
86868,20151119,GS,GOLDMAN SACHS GROUP INC,193.03
86868,20151120,GS,GOLDMAN SACHS GROUP INC,191.47
86868,20151123,GS,GOLDMAN SACHS GROUP INC,189.19
86868,20151124,GS,GOLDMAN SACHS GROUP INC,188.67
86868,20151125,GS,GOLDMAN SACHS GROUP INC,189.14999
86868,20151127,GS,GOLDMAN SACHS GROUP INC,190.47
86868,20151130,GS,GOLDMAN SACHS GROUP INC,190.02
86868,20151201,GS,GOLDMAN SACHS GROUP INC,193.07001
86868,20151202,GS,GOLDMAN SACHS GROUP INC,190.25999
86868,20151203,GS,GOLDMAN SACHS GROUP INC,185.2
86868,20151204,GS,GOLDMAN SACHS GROUP INC,189.99001
86868,20151207,GS,GOLDMAN SACHS GROUP INC,185.49001
86868,20151208,GS,GOLDMAN SACHS GROUP INC,182.92
86868,20151209,GS,GOLDMAN SACHS GROUP INC,180.71001
86868,20151210,GS,GOLDMAN SACHS GROUP INC,182.11
86868,20151211,GS,GOLDMAN SACHS GROUP INC,176.56
86868,20151214,GS,GOLDMAN SACHS GROUP INC,176.39999
86868,20151215,GS,GOLDMAN SACHS GROUP INC,182.00999
86868,20151216,GS,GOLDMAN SACHS GROUP INC,186.21001
86868,20151217,GS,GOLDMAN SACHS GROUP INC,182.61
86868,20151218,GS,GOLDMAN SACHS GROUP INC,175.49001
86868,20151221,GS,GOLDMAN SACHS GROUP INC,177.75
86868,20151222,GS,GOLDMAN SACHS GROUP INC,180.05
86868,20151223,GS,GOLDMAN SACHS GROUP INC,182.95
86868,20151224,GS,GOLDMAN SACHS GROUP INC,182.47
86868,20151228,GS,GOLDMAN SACHS GROUP INC,181.62
86868,20151229,GS,GOLDMAN SACHS GROUP INC,183.53
86868,20151230,GS,GOLDMAN SACHS GROUP INC,182.00999
86868,20151231,GS,GOLDMAN SACHS GROUP INC,180.23
86868,20160104,GS,GOLDMAN SACHS GROUP INC,177.14
86868,20160105,GS,GOLDMAN SACHS GROUP INC,174.09
86868,20160106,GS,GOLDMAN SACHS GROUP INC,169.84
86868,20160107,GS,GOLDMAN SACHS GROUP INC,164.62
86868,20160108,GS,GOLDMAN SACHS GROUP INC,163.94
86868,20160111,GS,GOLDMAN SACHS GROUP INC,165.73
86868,20160112,GS,GOLDMAN SACHS GROUP INC,165.71001
86868,20160113,GS,GOLDMAN SACHS GROUP INC,158.99001
86868,20160114,GS,GOLDMAN SACHS GROUP INC,161.39
86868,20160115,GS,GOLDMAN SACHS GROUP INC,155.61
86868,20160119,GS,GOLDMAN SACHS GROUP INC,156.82001
86868,20160120,GS,GOLDMAN SACHS GROUP INC,153.75
86868,20160121,GS,GOLDMAN SACHS GROUP INC,151.64999
86868,20160122,GS,GOLDMAN SACHS GROUP INC,156.86
86868,20160125,GS,GOLDMAN SACHS GROUP INC,151.12
86868,20160126,GS,GOLDMAN SACHS GROUP INC,154.45
86868,20160127,GS,GOLDMAN SACHS GROUP INC,153.72
86868,20160128,GS,GOLDMAN SACHS GROUP INC,157.06
86868,20160129,GS,GOLDMAN SACHS GROUP INC,161.56
86868,20160201,GS,GOLDMAN SACHS GROUP INC,159.64999
86868,20160202,GS,GOLDMAN SACHS GROUP INC,151.7
86868,20160203,GS,GOLDMAN SACHS GROUP INC,152.67999
86868,20160204,GS,GOLDMAN SACHS GROUP INC,156.49001
